XF,transcript_id,difference,uncertainty,stat,pval,padj,avg_coverage
BTN2A1,NM_078476.4_2,-0.6945565355886306,0.3216646590448736,-2.15925659241209,0.030830265734121606,0.39193688832886936,1.7636185861863143
BTN2A2,XM_005248797.4,-0.5013582867346613,0.3317936714476246,-1.5110543987991747,0.13077459167448258,0.7680356358456353,1.8129865980676572
BTN2A2,XM_047418075.1,-0.3021619421538334,0.24271454080928473,-1.2449272348757219,0.2131584987305291,0.8154779263360609,1.8003961619734112
BTN2A3P,NR_027795.1,-1.2652434195308335,0.2932625600317592,-4.314370778846821,1.6005812160019382e-5,0.001112403945121347,1.709366403571956
BTN3A2,NM_001197249.3,-0.0035719409071379715,0.4267731668172957,-0.008369647355704399,0.9933220655616041,0.9997299078530111,1.4791831237597548
BTN3A2,NM_007047.5,-0.21589748749691795,0.35421726359915656,-0.6095058306961413,0.5421892091525868,0.9805808749412689,1.7275531012925882
BYSL,NM_004053.4,0.09801518432360368,0.16030592043418357,0.6114258541302319,0.5409176908886819,0.9805808749412689,2.344660820791509
C4A,NM_007293.3_3,-0.37036036978624276,0.4159005663067384,-0.8905022012234808,0.373196286980731,0.9663586886541822,1.6564703207142184
C6orf132,NM_001164446.3,-0.18960111067690846,0.2676740527363881,-0.7083283147494024,0.4787413975461001,0.9805808749412689,1.8154713863511214
C6orf136,NM_001109938.3_7,0.0026567099235877967,0.36567277321728076,0.007265265882973448,0.9942032075182936,0.9997299078530111,1.5305216865315365
C6orf141,NR_170591.1,-0.2421483545989602,0.3008214615036709,-0.8049570445824235,0.42084446819734367,0.9805808749412689,1.5252043860564062
C6orf141,XM_047418226.1,-0.062037455967459104,0.29498638908280006,-0.21030616416015635,0.8334287245670556,0.9958159832219547,1.5129451367743907
C6orf62,NM_030939.5,0.10292721558626039,0.15480557479265403,0.6648805491928872,0.5061268974909034,0.9805808749412689,2.523909896785537
C6orf62,XM_011514928.4,0.21411615081537883,0.16049253059543683,1.3341191021226668,0.18216482645568474,0.8022487180591629,2.5297608705863217
C6orf62,XM_047419384.1,-0.21168870700344689,0.37672869953957155,-0.5619128759294622,0.574175380518299,0.9805808749412689,1.5749519047431726
C6orf89,NM_001286635.2,0.2060121455949646,0.2592099322654792,0.7947694897121836,0.42674760181252597,0.9805808749412689,2.312701079472893
C6orf89,NM_152734.4,0.42218680277092546,0.29670796950786016,1.4229034813968529,0.1547641368897217,0.7680356358456353,2.1762252684520336
CAP2,NM_006366.3,0.3592722551498615,0.35185370168764546,1.0210841989913233,0.3072145486155124,0.9137263901847296,2.0765394247092015
CARMIL1,NM_017640.6,0.5597162840226304,0.27884223208339626,2.007286628860546,0.044719152060439825,0.5008601480545606,2.190898573835156
CCDC167,NM_138493.3,0.5527995967669779,0.4934572014985031,1.1202584440722867,0.26260364510859824,0.8831106452442375,1.8174144266387335
CCHCR1,NM_019052.4_6,0.3554276766880702,0.35412342659959123,1.0036830381457753,0.31553141531559004,0.9137263901847296,1.998133872347806
CCND3,NM_001760.5,-0.2990179307669141,0.26437370699567736,-1.131042622070595,0.2580371524472049,0.8748088826868653,2.1151867642217117
CD2AP,NM_012120.3,0.2778485225104743,0.13939216515638903,1.9932865107500568,0.046230082644898154,0.5008601480545606,2.65212892311738
CD2AP,XM_005248976.2,0.2083331095606724,0.34782691291783524,0.5989562676821546,0.5492020477979067,0.9805808749412689,1.7879925926561824
CD2AP,XM_017010641.2,-0.013233327867987255,0.3112498171851448,-0.042516741014230065,0.9660867664177274,0.9997299078530111,2.000032351755728
